Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Geoff Swaim (IR),87.0,30,TE,14,8,260,4-Jun,Texas,9/16/93,8,1.0,Dallas Cowboys / 7th / 246th pick / 2015,SwaiGe00
Carlos Watkins (IR),94.0,30,DT,2,1,305,3-Jun,Clemson,12/5/93,6,0.0,Houston Texans / 4th / 142nd pick / 2017,WatkCa00
Kyzir White (IR),7.0,27,LB,11,11,234,2-Jun,West Virginia,3/24/96,5,4.0,Los Angeles Chargers / 4th / 119th pick / 2018,WhitKy00
Josh Woods (IR),10.0,27,LB,11,7,230,1-Jun,Maryland,7/1/96,4,3.0,,WoodJo02
Brian Allen,55.0,28,OL,5,0,303,2-Jun,Michigan St.,10/11/95,5,0.0,Los Angeles Rams / 4th / 111th pick / 2018,AlleBr02
Davis Allen,87.0,22,TE,15,1,245,,Clemson,2/3/01,Rook,1.0,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02
Tremayne Anchrum,72.0,25,G,17,0,314,2-Jun,Clemson,6/24/98,3,1.0,Los Angeles Rams / 7th / 250th pick / 2020,AnchTr00
Tutu Atwell,5.0,24,WR,16,14,165,9-May,Louisville,10/7/99,2,5.0,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00
Steve Avila,73.0,24,G,17,17,332,3-Jun,TCU,10/16/99,Rook,8.0,Los Angeles Rams / 2nd / 36th pick / 2023,AvilSt00
Bobby Brown,95.0,23,NT,13,13,324,4-Jun,Texas A&M,8/7/00,2,5.0,Los Angeles Rams / 4th / 117th pick / 2021,BrowBo04
Aaron Donald,99.0,32,DT,16,16,280,1-Jun,Pittsburgh,5/23/91,9,15.0,St. Louis Rams / 1st / 13th pick / 2014,DonaAa00
Kevin Dotson,69.0,27,OL,14,14,321,4-Jun,Louisiana,9/18/96,3,6.0,Pittsburgh Steelers / 4th / 135th pick / 2020,DotsKe00
Cobie Durant,14.0,25,DB,16,9,180,11-May,South Carolina St.,2/9/98,1,3.0,Los Angeles Rams / 4th / 142nd pick / 2022,DuraDe01
Ethan Evans,42.0,22,P,17,0,231,3-Jun,Wingate,7/19/01,Rook,2.0,Los Angeles Rams / 7th / 223rd pick / 2023,EvanEt00
Zach Evans,21.0,22,RB,10,0,202,11-May,TCUMississippi,5/30/01,Rook,0.0,Los Angeles Rams / 6th / 215th pick / 2023,EvanZa00
Royce Freeman,24.0,27,RB,14,0,238,Jun-00,Oregon,2/24/96,5,2.0,Denver Broncos / 3rd / 71st pick / 2018,FreeRo00
Jordan Fuller,4.0,25,DB,17,17,203,2-Jun,Ohio St.,3/4/98,3,6.0,Los Angeles Rams / 6th / 199th pick / 2020,FullJo01
Nick Hampton,31.0,23,OLB,10,0,235,,Appalachian St.,4/5/00,Rook,1.0,Los Angeles Rams / 5th / 161st pick / 2023,HampNi00
Rob Havenstein,79.0,31,T,14,14,330,8-Jun,Wisconsin,5/13/92,8,8.0,St. Louis Rams / 2nd / 57th pick / 2015,HaveRo00
Tyler Higbee,89.0,30,TE,15,15,255,6-Jun,Western Kentucky,1/1/93,7,5.0,Los Angeles Rams / 4th / 110th pick / 2016,HigbTy00
Michael Hoecht,97.0,26,OLB,17,17,310,4-Jun,Brown,10/5/97,2,7.0,,HoecMi00
Brycen Hopkins,88.0,26,TE,15,0,245,4-Jun,Purdue,3/27/97,3,1.0,Los Angeles Rams / 4th / 136th pick / 2020,HopkBr01
Jake Hummel,35.0,24,LB,17,0,235,1-Jun,Iowa St.,1/4/99,1,1.0,,HummJa00
Alaric Jackson,77.0,25,T,15,15,285,7-Jun,Iowa,7/14/98,2,8.0,,JackAl01
Desjuan Johnson,94.0,24,DE,11,0,252,3-Jun,Toledo,9/3/99,Rook,1.0,Los Angeles Rams / 7th / 259th pick / 2023,JohnDe08
John Johnson,43.0,28,DB,17,8,209,Jun-00,Boston Col.,12/19/95,6,3.0,Los Angeles Rams / 3rd / 91st pick / 2017,JohnJo10
Tyler Johnson,16.0,25,WR,1,0,205,1-Jun,Minnesota,8/25/98,3,0.0,Tampa Bay Buccaneers / 5th / 161st pick / 2020,JohnTy00
Ernest Jones,53.0,24,LB,15,15,230,2-Jun,South Carolina,11/22/99,2,6.0,Los Angeles Rams / 3rd / 103rd pick / 2021,JoneEr01
Derion Kendrick,1.0,23,DB,17,12,190,Jun-00,ClemsonGeorgia,8/24/00,1,4.0,Los Angeles Rams / 6th / 212th pick / 2022,KendDe00
Cooper Kupp,10.0,30,WR,12,12,208,2-Jun,Eastern Washington,6/15/93,6,7.0,Los Angeles Rams / 3rd / 69th pick / 2017,KuppCo00
Quentin Lake,37.0,24,DB,14,4,201,1-Jun,UCLA,1/29/99,1,2.0,Los Angeles Rams / 6th / 211th pick / 2022,LakeQu00
Brett Maher,8.0,34,K,8,0,180,Jun-00,Nebraska,11/21/89,5,0.0,,MaheBr01
Ochaun Mathis,32.0,24,OLB,8,0,260,,TCUNebraska,1/8/99,Rook,1.0,Los Angeles Rams / 6th / 189th pick / 2023,MathOc00
Warren McClendon,71.0,22,T,6,0,300,,Georgia,4/11/01,Rook,0.0,Los Angeles Rams / 5th / 174th pick / 2023,McClWa00
Larrell Murchison,52.0,26,DT,15,3,297,2-Jun,North Carolina St.,4/24/97,3,2.0,Tennessee Titans / 5th / 174th pick / 2020,MurcLa00
Puka Nacua,17.0,22,WR,17,17,205,2-Jun,WashingtonBYU,5/29/01,Rook,14.0,Los Angeles Rams / 5th / 177th pick / 2023,NacuPu00
Joseph Noteboom,70.0,28,T,14,8,321,5-Jun,TCU,6/19/95,5,5.0,Los Angeles Rams / 3rd / 89th pick / 2018,NoteJo00
Troy Reeder,59.0,29,LB,17,6,245,3-Jun,Penn St.Delaware,9/13/94,4,3.0,,ReedTr01
Ronnie Rivers,20.0,24,RB,9,1,195,,Fresno St.,1/31/99,1,1.0,,RiveRo01
Demarcus Robinson,15.0,29,WR,16,4,203,1-Jun,Florida,9/21/94,7,4.0,Kansas City Chiefs / 4th / 126th pick / 2016,RobiDe01
Christian Rozeboom,56.0,26,LB,17,5,230,2-Jun,South Dakota St.,1/30/97,2,3.0,,RozeCh00
Duke Shelley,26.0,27,DB,11,0,183,8-May,Kansas St.,10/8/96,4,1.0,Chicago Bears / 6th / 205th pick / 2019,ShelDu00
Coleman Shelton,65.0,28,G,17,17,299,4-Jun,Washington,7/28/95,4,8.0,,ShelCo00
Ben Skowronek,18.0,26,WR,17,0,224,3-Jun,NorthwesternNotre Dame,6/27/97,2,1.0,Los Angeles Rams / 7th / 249th pick / 2021,SkowBe00
Matthew Stafford,9.0,35,QB,15,15,220,3-Jun,Georgia,2/7/88,14,13.0,Detroit Lions / 1st / 1st pick / 2009,StafMa00
Jason Taylor,25.0,24,DB,8,0,204,,Oklahoma St.,12/30/99,Rook,0.0,Los Angeles Rams / 7th / 234th pick / 2023,TaylJa05
Keir Thomas,96.0,25,OLB,8,0,275,2-Jun,South CarolinaFlorida St.,1/25/98,1,1.0,,ThomKe04
Carson Tinker,46.0,34,LS,4,0,233,Jun-00,Alabama,11/15/89,10,0.0,,TinkCa00
Tre'Vius Tomlinson,6.0,22,DB,15,0,180,,TCU,1/10/01,Rook,1.0,Los Angeles Rams / 6th / 182nd pick / 2023,HodgTr00
Austin Trammell,81.0,25,WR,16,0,185,10-May,Rice,7/4/98,2,0.0,,TramAu00
Kobie Turner,91.0,24,NT,17,4,288,2-Jun,RichmondWake Forest,4/26/99,Rook,3.0,Los Angeles Rams / 3rd / 89th pick / 2023,TurnKo00
Carson Wentz,11.0,31,QB,2,1,237,5-Jun,North Dakota St.,12/30/92,7,1.0,Philadelphia Eagles / 1st / 2nd pick / 2016,WentCa00
Jonah Williams,92.0,28,DE,17,16,275,5-Jun,Weber St.,8/17/95,2,6.0,,WillJo16
Kyren Williams,23.0,23,RB,12,11,194,9-May,Notre Dame,8/26/00,1,10.0,Los Angeles Rams / 5th / 164th pick / 2022,WillKy02
Ahkello Witherspoon,44.0,28,DB,17,17,195,2-Jun,Colorado,3/21/95,6,6.0,San Francisco 49ers / 3rd / 66th pick / 2017,WithAh00
Russ Yeast,2.0,24,DB,17,9,195,10-May,LouisvilleKansas St.,5/8/99,1,3.0,Los Angeles Rams / 7th / 253rd pick / 2022,YeasRu00
Byron Young,0.0,25,OLB,17,16,250,2-Jun,Georgia MilitaryTennessee,3/13/98,Rook,7.0,Los Angeles Rams / 3rd / 77th pick / 2023,YounBy01
AJ Arcuri (NWT),61.0,26,OL,0,0,320,7-Jun,Michigan St.,8/13/97,1,,Los Angeles Rams / 7th / 261st pick / 2022,ArcuAJ00
Tanner Brown (NWT),,24,K,0,0,177,Jun-00,Oklahoma State,12/28/99,Rook,,,BrowTa00
Logan Bruss (NWT),60.0,24,OL,0,0,309,5-Jun,Wisconsin,10/7/99,Rook,,Los Angeles Rams / 3rd / 104th pick / 2022,BrusLo00
Cory Durden (NWT),98.0,24,DT,4,0,292,,Florida St.North Carolina St.,1/26/99,Rook,0.0,,DurdCo00
Olakunle Fatukasi (NWT),54.0,24,LB,1,0,240,2-Jun,Rutgers,6/11/99,1,0.0,,FatuOl00
Miller Forristall (NWT),82.0,25,TE,0,0,245,5-Jun,Alabama,3/11/98,2,,,ForrMi00
Tanner Ingle (NWT),34.0,24,DB,0,0,179,8-May,North Carolina State,10/29/99,Rook,,,InglTa00
Nikola Kalinic (NWT),83.0,26,TE,0,0,245,4-Jun,York,1/21/97,1,,,KaliNi00
Mike McAllister (NWT),68.0,25,OL,0,0,305,2-Jun,Youngstown State,6/12/98,Rook,,,McAlMi00
Cameron McCutcheon (NWT),41.0,23,DB,0,0,204,1-Jun,Western Carolina,4/3/00,Rook,,,McCuCa00
Grant Miller (NWT),,25,OL,0,0,306,3-Jun,Baylor,9/22/98,Rook,,,MillGr00
Xavier Smith (NWT),19.0,26,WR,0,0,174,9-May,Florida A&M,9/21/97,Rook,,,SmitXa00
Zachary Thomas (NWT),57.0,25,OL,2,0,300,5-Jun,San Diego St.,5/26/98,1,0.0,Chicago Bears / 6th / 186th pick / 2022,ThomZa04
Zach VanValkenburg (NWT),51.0,25,OLB,9,0,263,4-Jun,HillsdaleIowa,2/17/98,Rook,1.0,,VanVZa00
Dresser Winn (NWT),12.0,25,QB,0,0,215,2-Jun,Tennessee-Martin,11/11/98,Rook,,,WinnDr00
Stetson Bennett (NON),13.0,26,QB,0,0,190,,Jones County JCGeorgia,10/28/97,Rook,,Los Angeles Rams / 4th / 128th pick / 2023,BennSt00
Shaun Jolly (IR),38.0,25,DB,4,0,180,9-May,Appalachian St.,10/17/98,1,0.0,,JollSh00
Hunter Long (IR),84.0,25,TE,4,1,253,5-Jun,Boston Col.,8/19/98,2,0.0,Miami Dolphins / 3rd / 81st pick / 2021,LongHu00
Alex Ward (IR),47.0,24,LS,13,0,240,,Central Florida,4/21/99,Rook,1.0,,WardAl00
Myles Adams,95.0,25,DT,11,1,290,2-Jun,Rice,3/9/98,2,1.0,,AdamMy00
Nick Bellore,44.0,34,LB,16,0,250,1-Jun,Central Michigan,5/12/89,12,3.0,,BellNi01
Jake Bobo,19.0,25,WR,17,0,207,,DukeUCLA,8/4/98,Rook,2.0,,BoboJa00
Anthony Bradford,70.0,22,G,14,10,332,,LSU,4/28/01,Rook,5.0,Seattle Seahawks / 4th / 108th pick / 2023,BradAn00
Jordyn Brooks,56.0,26,LB,16,16,240,Jun-00,Texas Tech,10/21/97,3,6.0,Seattle Seahawks / 1st / 27th pick / 2020,BrooJo01
Evan Brown,63.0,27,C,16,16,320,2-Jun,SMU,9/16/96,4,7.0,,BrowEv00
Tre Brown,22.0,26,CB,15,7,185,10-May,Oklahoma,9/24/97,2,3.0,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03
Coby Bryant,8.0,24,CB,9,2,193,1-Jun,Cincinnati,3/29/99,1,1.0,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01
Artie Burns,23.0,28,CB,14,1,187,Jun-00,Miami (FL),5/1/95,7,1.0,Pittsburgh Steelers / 1st / 25th pick / 2016,BurnAr00
Devin Bush Jr.,0.0,25,LB,13,3,234,11-May,Michigan,7/18/98,4,2.0,Pittsburgh Steelers / 1st / 10th pick / 2019,BushDe01
Zach Charbonnet,26.0,22,RB,16,2,214,,MichiganUCLA,1/8/01,Rook,5.0,Seattle Seahawks / 2nd / 52nd pick / 2023,CharZa00
Charles Cross,67.0,23,T,14,14,311,5-Jun,Mississippi St.,11/25/00,1,7.0,Seattle Seahawks / 1st / 9th pick / 2022,CrosCh00
McClendon Curtis,66.0,24,G,1,0,325,6-Jun,Chattanooga,9/16/99,Rook,0.0,,CurtMc00
DeeJay Dallas,31.0,25,RB,17,0,214,10-May,Miami (FL),9/16/98,3,0.0,Seattle Seahawks / 4th / 144th pick / 2020,DallDe00
Michael Dickson,4.0,27,P,17,0,208,2-Jun,Texas,1/4/96,5,3.0,Seattle Seahawks / 5th / 149th pick / 2018,DickMi00
Quandre Diggs,6.0,30,FS,17,17,197,9-May,Texas,1/22/93,8,4.0,Detroit Lions / 6th / 200th pick / 2015,DiggQu00
Will Dissly,89.0,27,TE,16,14,265,4-Jun,Washington,7/8/96,5,2.0,Seattle Seahawks / 4th / 120th pick / 2018,DissWi00
Mario Edwards,97.0,29,DE,15,1,280,3-Jun,Florida St.,1/25/94,8,1.0,Oakland Raiders / 2nd / 35th pick / 2015,EdwaMa01
Noah Fant,87.0,26,TE,17,17,249,4-Jun,Iowa,11/20/97,4,4.0,Denver Broncos / 1st / 20th pick / 2019,FantNo00
Stone Forsythe,78.0,26,T,17,8,307,8-Jun,Florida,12/29/97,2,5.0,Seattle Seahawks / 6th / 208th pick / 2021,ForsSt00
Derick Hall,58.0,22,OLB,17,0,252,,Auburn,3/19/01,Rook,1.0,Seattle Seahawks / 2nd / 37th pick / 2023,HallDe04
Michael Jackson,30.0,26,CB,17,4,210,1-Jun,Miami (FL),1/10/97,4,1.0,Dallas Cowboys / 5th / 158th pick / 2019,JackMi01
Dre'Mont Jones,55.0,26,DE,17,16,281,3-Jun,Ohio St.,1/5/97,4,6.0,Denver Broncos / 3rd / 71st pick / 2019,JoneDr00
Damien Lewis,68.0,26,G,16,16,327,2-Jun,LSU,3/21/97,3,7.0,Seattle Seahawks / 3rd / 69th pick / 2020,LewiDa05
Drew Lock,2.0,27,QB,4,2,228,4-Jun,Missouri,11/10/96,4,2.0,Denver Broncos / 2nd / 42nd pick / 2019,LockDr00
Tyler Lockett,16.0,31,WR,17,17,182,10-May,Kansas St.,9/28/92,8,8.0,Seattle Seahawks / 3rd / 69th pick / 2015,LockTy00
Julian Love,20.0,25,S,17,12,195,11-May,Notre Dame,3/19/98,4,5.0,New York Giants / 4th / 108th pick / 2019,LoveJu00
Abraham Lucas,72.0,25,T,6,6,322,6-Jun,Washington St.,10/25/98,1,3.0,Seattle Seahawks / 3rd / 72nd pick / 2022,LucaAb00
Boye Mafe,53.0,25,LB,16,16,261,4-Jun,Minnesota,11/30/98,1,6.0,Seattle Seahawks / 2nd / 40th pick / 2022,MafeBo00
Kenny McIntosh,25.0,23,RB,3,0,210,,Georgia,3/3/00,Rook,0.0,Seattle Seahawks / 7th / 237th pick / 2023,McInKe00
D.K. Metcalf,14.0,26,WR,16,16,235,4-Jun,Mississippi,12/14/97,4,10.0,Seattle Seahawks / 2nd / 64th pick / 2019,MetcDK00
Jason Myers,5.0,32,K,17,0,190,10-May,Marist,5/12/91,8,3.0,,MyerJa00
Raiqwon O'Neal,79.0,23,T,3,0,305,4-Jun,RutgersUCLA,1/12/00,Rook,0.0,,ONeaRa00
Ty Okada,39.0,24,SS,5,0,193,11-May,Montana St.,6/4/99,Rook,0.0,,OkadTy00
Olusegun Oluwatimi,51.0,24,C,16,1,307,,Air ForceVirginiaMichigan,8/5/99,Rook,1.0,Seattle Seahawks / 5th / 154th pick / 2023,OluwOl00
Colby Parkinson,84.0,24,TE,17,1,251,7-Jun,Stanford,1/8/99,3,2.0,Seattle Seahawks / 4th / 133rd pick / 2020,ParkCo02
Jason Peters,70.0,41,T,8,2,328,4-Jun,Arkansas,1/22/82,19,1.0,,PeteJa21
Jarran Reed,90.0,31,DE,16,16,306,3-Jun,East Mississippi CCAlabama,12/16/92,7,6.0,Seattle Seahawks / 2nd / 49th pick / 2016,ReedJa02
Jon Rhattigan,59.0,24,LB,17,0,236,Jun-00,Army,2/2/99,2,1.0,,RhatJo00
Brady Russell,38.0,25,TE,15,0,247,3-Jun,Colorado,8/31/98,Rook,0.0,,RussBr00
Geno Smith,7.0,33,QB,15,15,221,3-Jun,West Virginia,10/10/90,10,12.0,New York Jets / 2nd / 39th pick / 2013,SmitGe00
Jaxon Smith-Njigba,11.0,21,WR,17,3,197,,Ohio St.,2/14/02,Rook,6.0,Seattle Seahawks / 1st / 20th pick / 2023,SmitJa06
Chris Stoll,41.0,25,LS,17,0,255,2-Jun,Penn St.,8/3/98,Rook,1.0,,StolCh00
Darrell Taylor,52.0,26,LB,17,5,267,4-Jun,Tennessee,3/24/97,2,3.0,Seattle Seahawks / 2nd / 48th pick / 2020,TaylDa00
Bobby Wagner,54.0,33,LB,17,16,242,Jun-00,Utah St.,6/27/90,11,10.0,Seattle Seahawks / 2nd / 47th pick / 2012,WagnBo00
Kenneth Walker III,9.0,23,RB,15,15,211,9-May,Wake ForestMichigan St.,10/20/00,1,8.0,Seattle Seahawks / 2nd / 41st pick / 2022,WalkKe00
Leonard Williams,99.0,29,DL,10,10,300,5-Jun,USC,6/20/94,8,4.0,New York Jets / 1st / 6th pick / 2015,WillLe02
Devon Witherspoon,21.0,23,CB,14,13,185,,Illinois,12/11/00,Rook,6.0,Seattle Seahawks / 1st / 5th pick / 2023,WithDe00
Riq Woolen,27.0,24,CB,16,15,210,4-Jun,Texas-San Antonio,5/2/99,1,4.0,Seattle Seahawks / 5th / 153rd pick / 2022,WoolTa00
Cameron Young,93.0,23,DT,16,1,304,,Mississippi St.,6/8/00,Rook,1.0,Seattle Seahawks / 4th / 123rd pick / 2023,YounCa00
Dareke Young,83.0,24,WR,6,0,224,2-Jun,Lenoir-Rhyne,6/4/99,1,0.0,Seattle Seahawks / 7th / 233rd pick / 2022,YounDa02
Bryan Mone (PUP),91.0,28,DT,0,0,345,3-Jun,Michigan,10/20/95,4,,,MoneBr00
Levi Bell (NWT),43.0,24,OLB,0,0,262,11-May,Texas State,8/6/99,Rook,,,BellLe01
Matthew Gotel (NWT),77.0,24,NT,0,0,341,1-Jun,West Florida,1/2/99,Rook,,,GoteMa00
Bryant Koback (NWT),40.0,25,RB,0,0,210,Jun-00,Toledo,4/6/98,Rook,,,KobaBr00
Tyler Mabry (NWT),85.0,27,TE,0,0,247,3-Jun,BuffaloMaryland,11/21/96,2,,,MabrTy00
Jonathan Sutherland (NWT),34.0,25,SS,0,0,202,11-May,Penn State,8/9/98,Rook,,,SuthJo00
Cody White (NWT),82.0,25,WR,0,0,210,3-Jun,Michigan St.,11/28/98,2,,,WhitCo05
Easop Winston (NWT),86.0,27,WR,1,0,190,Jun-00,Washington St.,12/17/96,2,0.0,,WinsEa00
Phil Haynes (IRD),60.0,28,G,8,8,322,4-Jun,Wake Forest,10/19/95,4,3.0,Seattle Seahawks / 4th / 124th pick / 2019,HaynPh00
Jamal Adams (IR),33.0,28,SS,9,9,213,1-Jun,LSU,10/17/95,6,2.0,New York Jets / 1st / 6th pick / 2017,AdamJa00
D'Wayne Eskridge (IR),1.0,26,WR,4,0,190,9-May,Western Michigan,3/23/97,2,0.0,Seattle Seahawks / 2nd / 56th pick / 2021,EskrDW00
Mike Morris (IR),94.0,22,DE,1,0,295,,Michigan,4/22/01,Rook,0.0,Seattle Seahawks / 5th / 151st pick / 2023,MorrMi00
Uchenna Nwosu (IR),10.0,27,LB,6,6,251,2-Jun,USC,12/28/96,5,2.0,Los Angeles Chargers / 2nd / 48th pick / 2018,NwosUc00
Josh Onujiogu (IR),49.0,25,LB,0,0,252,2-Jun,Framingham St.,3/3/98,1,,,OnujJo00
Jerrick Reed (IR),32.0,23,S,10,0,196,9-May,Northwest Mississippi CCNew Mexico,8/7/00,Rook,0.0,Seattle Seahawks / 6th / 198th pick / 2023,ReedJe00
Drake Thomas (IR),42.0,23,LB,7,0,228,,North Carolina St.,2/25/00,Rook,0.0,,ThomDr00
